label,translated_clean_data,cleaned_text
neg,Shala is the whole razakar,shala whole razakar
neg,This is a negative example text.,negative example text
neg,It was a comment or was a bom,comment bom
pos,Grandpa has truely highlights a lot of people,grandpa truely highlights lot people
neg,This is a negative example text.,negative example text
neg,"You can not do anything, the government will be sitting like a ghost, your people's hopes are going away.",anything government sitting like ghost peoples hopes going away
pos,How many troubles and Griezmann Illo and Galero will be afraid of Barsa Hasilare brother who does not get so much entertainment.,many troubles griezmann illo galero afraid barsa hasilare brother get much entertainment
neg,This is a negative example text.,negative example text
ntr,"Many leaders of the BNP said that if their leader was jailed, they would voluntarily imprison them.",many leaders bnp said leader jailed would voluntarily imprison
neg,"His forehead was well arrested by the police, otherwise the crowd would beat him to be beaten by the Harami's baby after being released from his forehead.",forehead well arrested police otherwise crowd would beat beaten haramis baby released forehead
pos,Good news,good news
neg,"Begum Zia was followed by Begum Zia, not all of the talent and skill had led her to Zia's way to bring her to the way to unity of the people, but the union of the Jamaat and Pakistani attitude has hurt her personal sentiment and condemn.",begum zia followed begum zia talent skill led zias way bring way unity people union jamaat pakistani attitude hurt personal sentiment condemn
neg,Strange business,strange business
neg,Brother listens to the goat's words,brother listens goats words
neg,Arsenal Case Closed 😌 if the runners up fourth in the second,arsenal case closed runners fourth second
pos,Jamaat Shibir Awami League Council can break and break so many powerful entertainment.,jamaat shibir awami league council break break many powerful entertainment
pos,Jubaitul Arefin Bhai did not say bad in the comments that the poor do not get the likes of the Krishak Kamer League group.,jubaitul arefin bhai say bad comments poor get likes krishak kamer league group
pos,Aroma,aroma
pos,"Freedom fighters should be financially helpful to the children and grandchildren so that they get a job proved to be condemned with others, so that moral character will not have the opportunity to neglect the moral character.",freedom fighters financially helpful children grandchildren get job proved condemned others moral character opportunity neglect moral character
neg,Shakib's most 'bad experience',shakibs bad experience
pos,Many thanks this time I was able to run successfully this time Ubuntu installed Ubuntu,many thanks time able run successfully time ubuntu installed ubuntu
neg,"The percentage of Bangladesh billions of people and the percentage of the country is Muslim, but Bangladesh is about fifteen million Muslim countries, and within the country of thousands of Catchlaminbai percent of the Muslims, the father of the nation, the father of the nation, is the father of the nation, the father of the nation.The party of the party, the Awami League, is the only enemy of the people of Parajivan Bangladesh, the enemy of the Awami League, the enemy of the country and the hardest Islamist Bangladesh Awami League, the Islamist of the Awami League, the so -called liberation of the so -called Pragati, the Muslim people of the country are the main people of Islam.With the outbreak of consciousness, the extreme oppression of the Awami League, Sheikh Hasina's ruler's power to consolidate the power of extreme abuse and power has reached the whole of Bangladesh today at the level of extreme bankruptcy, which is so well -known for their ninety -nine people.Seeing the widespread and huge harassment of the injury, the world's most densely populated Muslim -dominated country of the world's anti -Islam and hateful abolitions of the world, the most popular Muslim -dominated country of the world is seen in Bangladesh as a Muslim to grow as a Muslim in Bangladesh.The purpose of the Hindutva of India is not the purpose of India's Hinduism, but the reliable partner of the Islamist Kufa, including the United States and Israel, is the reliable partner of the mission.Imam and madrasa teachers have kept a close eye that the verses of the Qur'an do not get practicing on the Islamic Department of Islam.The people of Bangladesh are really misleading",percentage bangladesh billions people percentage country muslim bangladesh fifteen million muslim countries within country thousands catchlaminbai percent muslims father nation father nation father nation father nationthe party party awami league enemy people parajivan bangladesh enemy awami league enemy country hardest islamist bangladesh awami league islamist awami league called liberation called pragati muslim people country main people islamwith outbreak consciousness extreme oppression awami league sheikh hasinas rulers power consolidate power extreme abuse power reached whole bangladesh today level extreme bankruptcy well known ninety nine peopleseeing widespread huge harassment injury worlds densely populated muslim dominated country worlds anti islam hateful abolitions world popular muslim dominated country world seen bangladesh muslim grow muslim bangladeshthe purpose hindutva india purpose indias hinduism reliable partner islamist kufa including united states israel reliable partner missionimam madrasa teachers kept close eye verses quran get practicing islamic department islamthe people bangladesh really misleading
